# From Richard Pace - Large Whale Program Leader
# rpace at mercury.wh.whoi.edu
# Speed (kts)	P(Mort|Collision)
0.1	0.02766
0.2	0.02859
0.3	0.02955
0.4	0.03054
0.5	0.03157
0.6	0.03263
0.7	0.03372
0.8	0.03485
0.9	0.03602
1.0	0.03722
1.1	0.03846
1.2	0.03974
1.3	0.04106
1.4	0.04243
1.5	0.04383
1.6	0.04529
1.7	0.04678
1.8	0.04833
1.9	0.04992
2.0	0.05156
2.1	0.05326
2.2	0.05500
2.3	0.05680
2.4	0.05866
2.5	0.06057
2.6	0.06254
2.7	0.06457
2.8	0.06666
2.9	0.06881
3.0	0.07103
3.1	0.07331
3.2	0.07566
3.3	0.07808
3.4	0.08057
3.5	0.08313
3.6	0.08577
3.7	0.08848
3.8	0.09127
3.9	0.09414
4.0	0.09709
4.1	0.10012
4.2	0.10323
4.3	0.10643
4.4	0.10972
4.5	0.11310
4.6	0.11656
4.7	0.12012
4.8	0.12377
4.9	0.12752
5.0	0.13136
5.1	0.13530
5.2	0.13934
5.3	0.14348
5.4	0.14772
5.5	0.15206
5.6	0.15651
5.7	0.16107
5.8	0.16573
5.9	0.17050
6.0	0.17538
6.1	0.18036
6.2	0.18546
6.3	0.19066
6.4	0.19598
6.5	0.20141
6.6	0.20695
6.7	0.21260
6.8	0.21837
6.9	0.22424
7.0	0.23023
7.1	0.23633
7.2	0.24254
7.3	0.24886
7.4	0.25529
7.5	0.26183
7.6	0.26847
7.7	0.27522
7.8	0.28207
7.9	0.28903
8.0	0.29609
8.1	0.30324
8.2	0.31050
8.3	0.31784
8.4	0.32528
8.5	0.33281
8.6	0.34043
8.7	0.34812
8.8	0.35590
8.9	0.36376
9.0	0.37168
9.1	0.37968
9.2	0.38775
9.3	0.39587
9.4	0.40405
9.5	0.41229
9.6	0.42058
9.7	0.42891
9.8	0.43728
9.9	0.44569
10.0	0.45413
10.1	0.46260
10.2	0.47108
10.3	0.47959
10.4	0.48810
10.5	0.49663
10.6	0.50515
10.7	0.51367
10.8	0.52219
10.9	0.53069
11.0	0.53917
11.1	0.54763
11.2	0.55606
11.3	0.56446
11.4	0.57283
11.5	0.58115
11.6	0.58943
11.7	0.59765
11.8	0.60583
11.9	0.61394
12.0	0.62199
12.1	0.62997
12.2	0.63789
12.3	0.64572
12.4	0.65349
12.5	0.66117
12.6	0.66876
12.7	0.67627
12.8	0.68369
12.9	0.69102
